23-Jan-2024 15:49:11.555 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
23-Jan-2024 15:49:11.555 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
23-Jan-2024 15:49:11.560 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 15:49:11.560 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 15:51:56.533 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 15:51:56.533 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 15:53:07.071 INFO [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 15:53:07.071 INFO [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 15:53:44.752 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 15:53:44.752 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 16:07:17.838 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 16:07:17.839 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 16:08:27.026 INFO [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 16:08:27.026 INFO [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 16:53:45.772 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 16:53:45.773 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 17:18:49.019 INFO [http-nio-8080-exec-55] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 17:18:49.019 INFO [http-nio-8080-exec-55] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
23-Jan-2024 17:21:02.153 INFO [http-nio-8080-exec-65] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
23-Jan-2024 17:21:02.153 INFO [http-nio-8080-exec-65] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\webapp-form.war.tmp
